
dccn-l029.dccn.nl: 
                                                                                  Req'd    Req'd       Elap
Job ID                  Username    Queue    Jobname          SessID  NDS   TSK   Memory   Time    S   Time
10052684.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  24259   --       1   51gb  11:09:40 C       --    dccn-c021
10052685.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  24445   --       1   51gb  11:09:40 C       --    dccn-c021
10052686.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  64707   --       1   51gb  11:09:40 C       --    dccn-c020
10052687.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  24688   --       1   51gb  11:09:40 C       --    dccn-c021
10052688.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  32831   --       1   51gb  11:09:40 C       --    dccn-c021
10052689.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  32435   --       1   51gb  11:09:40 C       --    dccn-c025
10052690.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  32498   --       1   51gb  11:09:40 C       --    dccn-c025
10052691.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  17871   --       1   51gb  11:09:40 C       --    dccn-c020
10052692.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  63723   --       1   51gb  11:09:40 C       --    dccn-c019
10052693.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013  63742   --       1   51gb  11:09:40 C       --    dccn-c019
10052694.dccn-l029.dcc  yulber      matlab   yulber_dccn_c013    --    --       1   51gb  11:09:40 C       --     -- 
10053844.dccn-l029.dcc  ritgil      interact STDIN             28580     1      1   15gb  72:00:00 R  16:27:28   dccn-c013
10061881.dccn-l029.dcc  murfer      interact STDIN             25826     1      1   21gb  10:00:00 R  09:23:53   dccn-c013
10063030.dccn-l029.dcc  jesmaa      interact STDIN             29024     1      1   15gb  48:00:00 R  08:38:59   dccn-c013
10063659.dccn-l029.dcc  raipru      interact STDIN             25258     1      1    3gb  11:05:00 C       --    dccn-c012
10064236.dccn-l029.dcc  lislut      interact STDIN             31452     1      1   12gb  10:38:00 R  07:37:24   dccn-c004
10064239.dccn-l029.dcc  lindvoo     interact STDIN             32318     1      1    5gb  24:00:00 R  07:27:53   dccn-c004
10064240.dccn-l029.dcc  maalee      interact STDIN              3438     1      1   16gb  10:25:00 R  07:24:03   dccn-c003
10064241.dccn-l029.dcc  silcol      interact STDIN               705     1      1    3gb  10:18:00 R  07:16:58   dccn-c004
10064816.dccn-l029.dcc  weizha      interact STDIN              9882     1      1   10gb  48:00:00 R  07:08:08   dccn-c004
10064817.dccn-l029.dcc  ashlew      interact STDIN              7481     1      1   30gb  10:08:00 C       --    dccn-c016
10064818.dccn-l029.dcc  nielam      interact STDIN              4717     1      1    5gb  10:08:00 R  07:07:00   dccn-c003
10064819.dccn-l029.dcc  micdir      interact STDIN             19317     1      1   12gb  12:00:00 R  07:05:01   dccn-c008
10064820.dccn-l029.dcc  maronn      interact STDIN              8729   --       1    3gb  24:00:00 R  07:04:43   dccn-c012
10064821.dccn-l029.dcc  micdir      interact STDIN             16485     1      1   12gb  48:00:00 R  07:03:44   dccn-c010
10064822.dccn-l029.dcc  jesmaa      interact STDIN             10994     1      1   15gb  10:04:00 R  07:03:44   dccn-c009
10064873.dccn-l029.dcc  iramar      interact STDIN              6753     1      1   30gb  09:59:00 R  06:58:22   dccn-c017
10065454.dccn-l029.dcc  iramar      interact STDIN             11153   --       1   30gb  30:00:00 R  06:53:44   dccn-c016
10065498.dccn-l029.dcc  nicusb      interact STDIN              9323     1      1   20gb  70:00:00 C       --    dccn-c017
10065532.dccn-l029.dcc  janveke     interact STDIN             16799     1      1    3gb  09:41:00 R  06:40:39   dccn-c012
10065626.dccn-l029.dcc  linroij     interact STDIN             18057     1      1    3gb  09:29:00 C       --    dccn-c012
10065627.dccn-l029.dcc  eelvdon     interact STDIN             18849     1      1    3gb  09:23:00 R  06:22:22   dccn-c012
10065629.dccn-l029.dcc  matves      interact STDIN             20403     1      1   10gb  09:15:00 R  06:14:11   dccn-c012
10066261.dccn-l029.dcc  ritgil      interact STDIN             23007     1      1   15gb  60:00:00 R  06:02:32   dccn-c012
10066262.dccn-l029.dcc  zahfaz      interact STDIN              9370     1      1   16gb  08:59:00 R  05:58:02   dccn-c013
10066877.dccn-l029.dcc  raipru      interact STDIN             25224   --       1    3gb  07:00:00 R  05:53:10   dccn-c012
10066948.dccn-l029.dcc  jansch      interact STDIN             24137     1      1   16gb  24:00:00 R  05:40:39   dccn-c011
10066949.dccn-l029.dcc  dansha      interact STDIN             18766   --       1   64gb  10:00:00 C       --    dccn-c017
10066950.dccn-l029.dcc  margro      interact STDIN             27338     1      1    3gb  08:40:00 R  05:39:00   dccn-c012
10066953.dccn-l029.dcc  lartod      interact STDIN             19454     1      1   30gb  10:00:00 R  05:33:40   dccn-c017
10066954.dccn-l029.dcc  nilmul      interact STDIN             24997     1      1   25gb  72:00:00 R  05:32:42   dccn-c011
10066955.dccn-l029.dcc  timvmou     interact STDIN             29955     1      1    3gb  08:31:00 R  05:30:32   dccn-c012
10066956.dccn-l029.dcc  kimwie      interact STDIN             30526     1      1    3gb  08:29:00 C       --    dccn-c012
10066957.dccn-l029.dcc  matfra      interact STDIN             20203     1      1   16gb  08:28:00 C       --    dccn-c017
10066959.dccn-l029.dcc  matfra      matlab   matfra_dccn_c017  48708   --       1   65gb  03:03:00 R  05:25:43   dccn-c019
10066960.dccn-l029.dcc  matfra      matlab   matfra_dccn_c017  48724   --       1   65gb  03:03:00 R  05:25:43   dccn-c019
10066967.dccn-l029.dcc  erimei      interact STDIN             32655     1      1    8gb  08:17:00 C       --    dccn-c360
10067544.dccn-l029.dcc  yulber      interact STDIN              1563     1      1   20gb  50:00:00 R  05:09:55   dccn-c012
10067547.dccn-l029.dcc  josmar      interact STDIN             13915     1      1    3gb  08:02:00 R  05:00:59   dccn-c013
10067586.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  63947   --       1    6gb  00:33:00 C       --    dccn-c020
10067587.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64334   --       1    6gb  00:33:00 C       --    dccn-c020
10067588.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64739   --       1    6gb  00:33:00 C       --    dccn-c020
10067589.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  32553   --       1    6gb  00:33:00 C       --    dccn-c025
10067590.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18097   --       1    6gb  00:33:00 C       --    dccn-c020
10067591.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64061   --       1    6gb  00:33:00 C       --    dccn-c019
10067592.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64093   --       1    6gb  00:33:00 C       --    dccn-c019
10067593.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64144   --       1    6gb  00:33:00 C       --    dccn-c019
10067594.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64236   --       1    6gb  00:33:00 C       --    dccn-c019
10067595.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64310   --       1    6gb  00:33:00 C       --    dccn-c019
10067596.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64371   --       1    6gb  00:33:00 C       --    dccn-c019
10067597.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64462   --       1    6gb  00:33:00 C       --    dccn-c019
10067598.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64570   --       1    6gb  00:33:00 C       --    dccn-c019
10067599.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  64677   --       1    6gb  00:33:00 C       --    dccn-c019
10067600.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18345   --       1    6gb  00:33:00 C       --    dccn-c020
10067601.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18502   --       1    6gb  00:33:00 C       --    dccn-c020
10067602.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18528   --       1    6gb  00:33:00 C       --    dccn-c020
10067603.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18561   --       1    6gb  00:33:00 C       --    dccn-c020
10067604.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18610   --       1    6gb  00:33:00 C       --    dccn-c020
10067605.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18673   --       1    6gb  00:33:00 C       --    dccn-c020
10067606.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18753   --       1    6gb  00:33:00 C       --    dccn-c020
10067607.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  18874   --       1    6gb  00:33:00 C       --    dccn-c020
10067608.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  19005   --       1    6gb  00:33:00 C       --    dccn-c020
10067609.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  65515   --       1    6gb  00:33:00 C       --    dccn-c019
10067610.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012    796   --       1    6gb  00:33:00 C       --    dccn-c019
10067611.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012    892   --       1    6gb  00:33:00 C       --    dccn-c019
10067612.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012    933   --       1    6gb  00:33:00 C       --    dccn-c019
10067613.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012    966   --       1    6gb  00:33:00 C       --    dccn-c019
10067614.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   1050   --       1    6gb  00:33:00 C       --    dccn-c019
10067615.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   1128   --       1    6gb  00:33:00 C       --    dccn-c019
10067616.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   1217   --       1    6gb  00:33:00 C       --    dccn-c019
10067617.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   1424   --       1    6gb  00:33:00 C       --    dccn-c019
10067618.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   2579   --       1    6gb  00:33:00 C       --    dccn-c019
10067619.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   2607   --       1    6gb  00:33:00 C       --    dccn-c019
10067620.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   2640   --       1    6gb  00:33:00 C       --    dccn-c019
10067621.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   2689   --       1    6gb  00:33:00 C       --    dccn-c019
10067622.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   2760   --       1    6gb  00:33:00 C       --    dccn-c019
10067623.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   2857   --       1    6gb  00:33:00 C       --    dccn-c019
10067624.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   3087   --       1    6gb  00:33:00 C       --    dccn-c019
10067625.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  19818   --       1    6gb  00:33:00 C       --    dccn-c020
10067626.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  19842   --       1    6gb  00:33:00 C       --    dccn-c020
10067627.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20407   --       1    6gb  00:33:00 C       --    dccn-c020
10067628.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20437   --       1    6gb  00:33:00 C       --    dccn-c020
10067629.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20472   --       1    6gb  00:33:00 C       --    dccn-c020
10067630.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20521   --       1    6gb  00:33:00 C       --    dccn-c020
10067631.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20590   --       1    6gb  00:33:00 C       --    dccn-c020
10067632.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20671   --       1    6gb  00:33:00 C       --    dccn-c020
10067633.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20775   --       1    6gb  00:33:00 C       --    dccn-c020
10067634.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  20941   --       1    6gb  00:33:00 C       --    dccn-c020
10067635.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  21051   --       1    6gb  00:33:00 C       --    dccn-c020
10067636.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012  21181   --       1    6gb  00:33:00 C       --    dccn-c020
10067637.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   4048   --       1    6gb  00:33:00 C       --    dccn-c019
10067638.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   4073   --       1    6gb  00:33:00 C       --    dccn-c019
10067639.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   4116   --       1    6gb  00:33:00 C       --    dccn-c019
10067640.dccn-l029.dcc  yulber      matlab   yulber_dccn_c012   4175   --       1    6gb  00:33:00 C       --    dccn-c019
10068224.dccn-l029.dcc  roscha      interact STDIN             14852   --       1    1gb  10:00:00 R  04:55:13   dccn-c013
10068226.dccn-l029.dcc  bargip      interact STDIN             11049     1      1   18gb  07:50:00 R  04:49:36   dccn-c012
10068231.dccn-l029.dcc  loebri      interact STDIN             16694     1      1    7gb  07:38:00 C       --    dccn-c013
10068232.dccn-l029.dcc  lonsch      interact STDIN             17027     1      1    3gb  07:37:00 R  04:36:12   dccn-c013
10068375.dccn-l029.dcc  marvbuu     interact STDIN             19451     1      1    5gb  07:16:00 R  04:15:38   dccn-c013
10068376.dccn-l029.dcc  marsku      interact STDIN             19728     1      1   16gb  24:00:00 R  04:13:58   dccn-c013
10068959.dccn-l029.dcc  koehaa      interact STDIN              8768   --       1   64gb  10:00:00 C       --    dccn-c011
10068960.dccn-l029.dcc  nielam      matlab   nielam_dccn_c003  61960   --       1   36gb  00:38:00 C       --    dccn-c020
