2014-09-01 alegal 3 0
2014-09-01 denvdmee 0 11
2014-09-01 dieloz 1064 0
2014-09-01 erivoor 0 50
2014-09-01 marzwi 150 284
2014-09-01 micdir 461 0
2014-09-01 natbie 39 0
2014-09-01 paypir 0 243
2014-09-01 petvav 19 0
2014-09-01 pimmos 1 0
2014-09-01 tobnav 72 4
2014-09-02 alebac 24 0
2014-09-02 andmar 54 0
2014-09-02 anitul 0 5
2014-09-02 ankalb 2 0
2014-09-02 denvdmee 0 26
2014-09-02 dieloz 580 0
2014-09-02 erilow 351 0
2014-09-02 erivoor 20 25
2014-09-02 frebey 0 226
2014-09-02 karhui 0 3
2014-09-02 koehaa 0 8
2014-09-02 lonsch 176 0
2014-09-02 maalee 84 0
2014-09-02 marzwi 179 287
2014-09-02 matbon 120 0
2014-09-02 mievhol 20 0
2014-09-02 natbie 282 0
2014-09-02 nilmul 0 1417
2014-09-02 paypir 0 255
2014-09-02 petkok 194 0
2014-09-02 raipru 0 211
2014-09-02 sanbos 4 0
2014-09-02 silcol 7126 0
2014-09-02 tobnav 50 1106
2014-09-03 andmar 1013 0
2014-09-03 anitul 0 1
2014-09-03 ankalb 1 0
2014-09-03 ashlew 1 0
2014-09-03 dieloz 2383 0
2014-09-03 eelspa 0 49
2014-09-03 erivoor 0 896
2014-09-03 frebey 0 404
2014-09-03 iskbak 17 0
2014-09-03 karhui 0 1
2014-09-03 koehaa 0 8
2014-09-03 lordeu 12 3
2014-09-03 marzwi 454 874
2014-09-03 matbon 74 0
2014-09-03 mervar 3481 0
2014-09-03 micdir 184 0
2014-09-03 mievhol 19 0
2014-09-03 natbie 432 0
2014-09-03 nilkoh 0 12
2014-09-03 nilmul 0 625
2014-09-03 paypir 0 256
2014-09-03 raipru 0 104
2014-09-03 rodsol 26 0
2014-09-03 sanbos 122 0
2014-09-03 silcol 8939 0
2014-09-03 tobnav 340 0
2014-09-04 alegal 6 0
2014-09-04 anitul 0 4
2014-09-04 dieloz 865 0
2014-09-04 eelspa 0 25
2014-09-04 eelvis 0 1984
2014-09-04 erilow 0 64
2014-09-04 erivoor 0 584
2014-09-04 jansch 665 0
2014-09-04 lordeu 1 0
2014-09-04 maalee 59 0
2014-09-04 marzwi 0 210
2014-09-04 matbon 69 0
2014-09-04 micdir 46 0
2014-09-04 natbie 117 0
2014-09-04 nielam 45 0
2014-09-04 nilkoh 0 3
2014-09-04 nilmul 0 2102
2014-09-04 petkok 48 11
2014-09-04 pimmos 54 0
2014-09-04 raipru 0 22
2014-09-04 rickun 60 0
2014-09-04 roboos 1034 0
2014-09-04 rodsol 55 0
2014-09-04 sanbos 68 0
2014-09-04 tingre 72 0
2014-09-04 tobnav 50 200
2014-09-04 vinsch 136 0
2014-09-05 alilar 215 0
2014-09-05 anitul 0 1
2014-09-05 ankalb 44 0
2014-09-05 dieloz 105 0
2014-09-05 eelspa 0 11
2014-09-05 eelvis 0 7048
2014-09-05 erivoor 40 1243
2014-09-05 frebey 0 464
2014-09-05 isawag 4 0
2014-09-05 koehaa 0 240
2014-09-05 maalee 34 0
2014-09-05 marzwi 0 15
2014-09-05 matbon 53 0
2014-09-05 mievhol 16 0
2014-09-05 natbie 190 0
2014-09-05 nielam 2 0
2014-09-05 paypir 0 140
2014-09-05 petkok 33 0
2014-09-05 petvav 5 0
2014-09-05 raipru 0 72
2014-09-05 rickun 30 0
2014-09-05 rodsol 43 0
2014-09-05 sanbos 82 0
2014-09-05 silcol 7270 0
2014-09-05 tingre 36 0
2014-09-05 vinkum 0 75
2014-09-05 vinsch 28 0
2014-09-06 alilar 70 0
2014-09-06 anitul 0 3
2014-09-06 ankalb 1 0
2014-09-06 denvdmee 0 11
2014-09-06 dieloz 28 0
2014-09-06 eelvis 0 200
2014-09-06 erivoor 0 8
2014-09-06 isawag 2 0
2014-09-06 koehaa 0 2
2014-09-06 lizsch 0 350
2014-09-06 marzwi 0 1
2014-09-06 matbon 125 0
2014-09-06 natbie 190 0
2014-09-06 paypir 0 35
2014-09-06 rodsol 124 0
2014-09-06 silcol 3502 0
2014-09-06 tingre 2 0
2014-09-06 tobnav 0 300
2014-09-06 wenxie 2 0
2014-09-07 anitul 0 1
2014-09-07 dieloz 529 0
2014-09-07 eelvis 0 291
2014-09-07 frebey 0 1
2014-09-07 lizsch 0 3465
2014-09-07 natbie 2 0
2014-09-07 nilmul 0 202
2014-09-07 paypir 0 116
2014-09-08 alilar 56 0
2014-09-08 anitul 0 1
2014-09-08 dieloz 768 0
2014-09-08 eelspa 0 2
2014-09-08 eelvis 0 275
2014-09-08 eritwoe 108 0
2014-09-08 frebey 0 3
2014-09-08 natbie 521 0
2014-09-08 nilmul 0 86
2014-09-08 paypir 0 10
2014-09-08 stavpel 4 0
2014-09-08 tobnav 0 101
